DATE_TIME,VWC,D86_75M
2014-06-01 00:00:00,50.22,17.16
2014-06-02 00:00:00,51.23,17
2014-06-03 00:00:00,56.4,16.25
2014-06-04 00:00:00,58.63,15.97
2014-06-05 00:00:00,61.8,15.59
2014-06-06 00:00:00,-9999,-9999
2014-06-07 00:00:00,-9999,-9999
2014-06-08 00:00:00,-9999,-9999
2014-06-09 00:00:00,-9999,-9999
2014-06-10 00:00:00,54.11,16.56
2014-06-11 00:00:00,53.16,16.7
2014-06-12 00:00:00,50.91,17.05
2014-06-13 00:00:00,-9999,-9999
2014-06-14 00:00:00,-9999,-9999
2014-06-15 00:00:00,48.08,17.52
2014-06-16 00:00:00,48.17,17.5
2014-06-17 00:00:00,46.7,17.77
2014-06-18 00:00:00,44.41,18.21
2014-06-19 00:00:00,47,17.71
2014-06-20 00:00:00,41.9,18.75
2014-06-21 00:00:00,40.88,18.98
2014-06-22 00:00:00,40.96,18.97
2014-06-23 00:00:00,40.38,19.1
2014-06-24 00:00:00,36.85,20.02
2014-06-25 00:00:00,36.4,20.15
2014-06-26 00:00:00,37.41,19.86
2014-06-27 00:00:00,36.51,20.12
2014-06-28 00:00:00,39.94,19.21
2014-06-29 00:00:00,39.3,19.37
2014-06-30 00:00:00,38.75,19.51
2014-07-01 00:00:00,-9999,-9999
2014-07-02 00:00:00,36.64,20.08
2014-07-03 00:00:00,36.94,19.99
2014-07-04 00:00:00,36.76,20.05
2014-07-05 00:00:00,40.38,19.1
2014-07-06 00:00:00,43.62,18.38
2014-07-07 00:00:00,41.15,18.92
2014-07-08 00:00:00,40.43,19.09
2014-07-09 00:00:00,36.51,20.11
2014-07-10 00:00:00,35.47,20.42
2014-07-11 00:00:00,30.84,21.99
2014-07-12 00:00:00,36.34,20.16
2014-07-13 00:00:00,44.99,18.1
2014-07-14 00:00:00,-9999,-9999
2014-07-15 00:00:00,37.52,19.83
2014-07-16 00:00:00,40.61,19.05
2014-07-17 00:00:00,-9999,-9999
2014-07-18 00:00:00,37.73,19.78
2014-07-19 00:00:00,40.67,19.03
2014-07-20 00:00:00,43.34,18.44
2014-07-21 00:00:00,42.38,18.64
2014-07-22 00:00:00,39.46,19.33
2014-07-23 00:00:00,37.19,19.92
2014-07-24 00:00:00,35.15,20.52
2014-07-25 00:00:00,33.44,21.06
2014-07-26 00:00:00,33.4,21.08
2014-07-27 00:00:00,34.28,20.79
2014-07-28 00:00:00,32.27,21.46
2014-07-29 00:00:00,33.76,20.96
2014-07-30 00:00:00,35.2,20.5
2014-07-31 00:00:00,37.23,19.91
2014-08-01 00:00:00,34.67,20.67
2014-08-02 00:00:00,36.12,20.23
2014-08-03 00:00:00,35.52,20.4
2014-08-04 00:00:00,35.56,20.39
2014-08-05 00:00:00,35.32,20.47
2014-08-06 00:00:00,37.26,19.9
2014-08-07 00:00:00,34.71,20.65
2014-08-08 00:00:00,35.48,20.42
2014-08-09 00:00:00,40.05,19.18
2014-08-10 00:00:00,40.86,18.99
2014-08-11 00:00:00,40.56,19.06
2014-08-12 00:00:00,40.11,19.17
2014-08-13 00:00:00,41.62,18.81
2014-08-14 00:00:00,39.25,19.38
2014-08-15 00:00:00,37.23,19.91
2014-08-16 00:00:00,37.93,19.72
2014-08-17 00:00:00,37.59,19.82
2014-08-18 00:00:00,37.28,19.9
2014-08-19 00:00:00,37.19,19.92
2014-08-20 00:00:00,37.37,19.88
2014-08-21 00:00:00,-9999,-9999
2014-08-22 00:00:00,-9999,-9999
2014-08-23 00:00:00,38.64,19.54
2014-08-24 00:00:00,36.86,20.02
2014-08-25 00:00:00,37.9,19.73
2014-08-26 00:00:00,37.78,19.76
2014-08-27 00:00:00,37.52,19.83
2014-08-28 00:00:00,38.65,19.53
2014-08-29 00:00:00,37.49,19.84
2014-08-30 00:00:00,34.13,20.84
2014-08-31 00:00:00,34.54,20.71
2014-09-01 00:00:00,-9999,-9999
2014-09-02 00:00:00,33.64,21
2014-09-03 00:00:00,33.58,21.01
2014-09-04 00:00:00,34.76,20.64
2014-09-05 00:00:00,34.39,20.75
2014-09-06 00:00:00,36.2,20.21
2014-09-07 00:00:00,35.28,20.48
