Sample,Meas. No.,Cycle,Est. GMC (%),Resistivity (Ohm.m),TC Resistivity (Ohm.m),Lithology,Disturbed
HH01-1.5H,Drying,1,17.52%,134.75,137.22,SSF,1
HH01-1.5H,Drying,2,16.64%,111.17,112.29,SSF,1
HH01-1.5H,Drying,3,15.96%,105.75,108.35,SSF,1
HH01-1.5H,Drying,4,15.26%,107.83,106.77,SSF,1
HH01-1.5H,Drying,5,14.65%,101.42,98.65,SSF,1
HH01-1.5H,Drying,7,13.47%,100.5,95.53,SSF,1
HH01-1.5H,Drying,8,12.88%,121.25,118.64,SSF,1
HH01-1.5H,Drying,9,12.28%,169,163.44,SSF,1
HH01-1.5H,Drying,10,11.62%,173.5,168.45,SSF,1
HH01-1.5H,Drying,11,11.11%,226,218.57,SSF,1
HH01-1.5H,Drying,12,10.63%,230,223.74,SSF,1
HH01-1.5H,Drying,13,10.21%,267.25,265.66,SSF,1
HH01-1.5H,Drying,14,9.83%,316.75,324.54,SSF,1
HH01-1.5H,Drying,15,9.33%,351.75,355.3,SSF,1
HH01-1.5H,Drying,16,9%,360.5,364.14,SSF,1
HH01-1.5H,Drying,17,8.69%,383.5,370.17,SSF,1
HH01-1.5H,Drying,18,8.52%,406.75,391.86,SSF,1
HH01-1.5H,Drying,19,8.39%,417,395.64,SSF,1
HH01-1.5H,Drying,20,8.19%,592.5,594.88,SSF,1
HH01-1.5H,Drying,21,8.07%,665,648.15,SSF,1
HH01-1.5H,Drying,22,7.99%,670,651.75,SSF,1
HH01-1.5H,Drying,29,7.76%,877.5,899.08,SSF,1
HH01-1.5V,Drying,1,17.52%,31.45,32.03,SSF,1
HH01-1.5V,Drying,2,16.76%,29.28,29.57,SSF,1
HH01-1.5V,Drying,3,16.17%,29.63,30.35,SSF,1
HH01-1.5V,Drying,4,15.54%,28.66,28.37,SSF,1
HH01-1.5V,Drying,5,14.96%,27.43,26.68,SSF,1
HH01-1.5V,Drying,6,14.52%,27.18,25.88,SSF,1
HH01-1.5V,Drying,7,13.91%,27.38,26.02,SSF,1
HH01-1.5V,Drying,8,13.35%,29.7,28.72,SSF,1
HH01-1.5V,Drying,9,12.8%,29.33,28.47,SSF,1
HH01-1.5V,Drying,10,12.2%,30.15,29.16,SSF,1
HH01-1.5V,Drying,11,11.73%,31.63,30.76,SSF,1
HH01-1.5V,Drying,12,11.3%,33.98,33.77,SSF,1
HH01-1.5V,Drying,13,10.92%,36.83,37.73,SSF,1
HH01-1.5V,Drying,14,10.54%,40.98,41.39,SSF,1
HH01-1.5V,Drying,15,10.03%,45.43,45.88,SSF,1
HH01-1.5V,Drying,16,9.71%,50.25,48.5,SSF,1
HH01-1.5V,Drying,17,9.35%,52.25,50.34,SSF,1
HH01-1.5V,Drying,18,9.17%,55.25,53.23,SSF,1
HH01-1.5V,Drying,19,9.02%,59.5,56.45,SSF,1
HH01-1.5V,Drying,20,8.75%,80.25,80.57,SSF,1
HH01-1.5V,Drying,21,8.62%,82,79.92,SSF,1
HH01-1.5V,Drying,22,8.52%,83.5,81.23,SSF,1
HH01-1.5V,Drying,23,8.39%,94.75,93.26,SSF,1
HH01-1.5V,Drying,24,8.35%,97.25,94.79,SSF,1
HH01-1.5V,Drying,25,8.32%,95,92.41,SSF,1
HH01-1.5V,Drying,26,8.01%,119.5,119.02,SSF,1
HH01-1.5V,Drying,27,8.04%,112,110.89,SSF,1
HH01-1.5V,Drying,28,7.94%,136.25,139.6,SSF,1
HH01-1.5V,Drying,29,7.82%,155.25,159.07,SSF,1
HH01-1.5V,Drying,30,7.72%,168,172.13,SSF,1
HH01-1.5V,Drying,31,7.62%,181.25,185.71,SSF,1
HH01-1.5V,Drying,32,7.65%,179.75,183.04,SSF,1
HH01-1.5V,Drying,33,7.53%,203.5,208.93,SSF,1
HH01- 4.5V,Drying,1,14.48%,517.5,526.99,SSF,1
HH01- 4.5V,Drying,2,13.75%,635,641.41,SSF,1
HH01- 4.5V,Drying,3,13.17%,388.67,398.22,SSF,1
HH01- 4.5V,Drying,4,12.59%,620,613.86,SSF,1
HH01- 4.5V,Drying,5,12.07%,655,637.16,SSF,1
HH01- 4.5V,Drying,6,11.74%,717.5,683.33,SSF,1
HH01- 4.5V,Drying,7,11.26%,630,598.86,SSF,1
HH01- 4.5V,Drying,8,10.83%,947.5,916.34,SSF,1
HH01- 4.5V,Drying,9,21.18%,1157.5,1123.79,SSF,1
HH01- 4.5V,Drying,10,10.08%,1075,1039.65,SSF,1
HH01- 4.5V,Drying,11,9.8%,1080,1050.58,SSF,1
HH01- 4.5V,Drying,12,9.55%,1117.5,1110.83,SSF,1
HH01- 4.5V,Drying,13,9.34%,1177.5,1206.45,SSF,1
HH01- 4.5V,Drying,14,9.11%,1200,1212.12,SSF,1
HH01- 4.5V,Drying,15,8.81%,1410,1424.24,SSF,1
HH01- 4.5V,Drying,16,8.62%,1420,1370.66,SSF,1
HH01- 4.5V,Drying,17,8.47%,1380,1329.48,SSF,1
HH01- 4.5V,Drying,18,8.4%,1425,1372.83,SSF,1
HH01- 4.5V,Drying,19,8.34%,1390,1318.79,SSF,1
HH01- 4.5V,Drying,20,8.39%,1699.17,1705.99,SSF,1
HH01- 4.5V,Drying,21,8.31%,1727.5,1683.72,SSF,1
HH01- 4.5V,Drying,22,8.24%,1655,1609.92,SSF,1
HH02 - 0.95H,Drying,1,33.09%,14.28,14.54,WMF,1
HH02 - 0.95H,Drying,2,32.37%,14.38,14.52,WMF,1
HH02 - 0.95H,Drying,3,31.81%,14.63,14.99,WMF,1
HH02 - 0.95H,Drying,4,31.17%,15.28,15.12,WMF,1
HH02 - 0.95H,Drying,5,30.62%,11.55,11.24,WMF,1
HH02 - 0.95H,Drying,6,30.19%,14.05,13.38,WMF,1
HH02 - 0.95H,Drying,7,29.63%,14.28,13.57,WMF,1
HH02 - 0.95H,Drying,8,29.1%,15.03,14.53,WMF,1
HH02 - 0.95H,Drying,9,28.67%,14.6,14.17,WMF,1
HH02 - 0.95H,Drying,10,28.14%,14.28,13.81,WMF,1
HH02 - 0.95H,Drying,11,27.67%,14.9,14.49,WMF,1
HH02 - 0.95H,Drying,12,27.22%,15.83,15.73,WMF,1
HH02 - 0.95H,Drying,13,26.81%,16.35,16.75,WMF,1
HH02 - 0.95H,Drying,14,26.37%,17.55,17.73,WMF,1
HH02 - 0.95H,Drying,15,25.68%,17.53,17.7,WMF,1
HH02 - 0.95H,Drying,16,25.14%,17.83,17.21,WMF,1
HH02 - 0.95H,Drying,17,24.45%,17.81,17.16,WMF,1
HH02 - 0.95H,Drying,18,24%,18.43,17.75,WMF,1
HH02 - 0.95H,Drying,19,23.53%,18.55,17.6,WMF,1
HH02 - 0.95H,Drying,20,21.86%,21.68,21.76,WMF,1
HH02 - 0.95H,Drying,21,21.28%,21.9,21.35,WMF,1
HH02 - 0.95H,Drying,22,20.72%,21.85,21.25,WMF,1
HH02 - 0.95H,Drying,23,20.06%,23.85,23.47,WMF,1
HH02 - 0.95H,Drying,24,19.63%,25.08,24.44,WMF,1
HH02 - 0.95H,Drying,25,19.1%,29.65,28.84,WMF,1
HH02 - 0.95H,Drying,26,16.46%,69.75,69.47,WMF,1
HH02 - 0.95H,Drying,27,16.46%,97,96.04,WMF,1
HH02 - 0.95H,Drying,28,15.97%,137,140.37,WMF,1
HH02 - 0.95H,Drying,29,15.52%,256.5,262.81,WMF,1
HH02 - 0.95H,Drying,30,15.24%,339.42,347.76,WMF,1
HH02 - 0.95H,Drying,31,14.76%,373.75,382.94,WMF,1
HH02 - 0.95H,Drying,32,14.26%,263.25,268.08,WMF,1
HH02 - 0.95H,Drying,33,13.83%,942.5,967.66,WMF,1
HH02 - 1.05V,Drying,1,33.09%,14.03,14.28,WMF,1
HH02 - 1.05V,Drying,2,32.36%,12.98,13.11,WMF,1
HH02 - 1.05V,Drying,3,31.82%,13.18,13.5,WMF,1
HH02 - 1.05V,Drying,4,31.24%,12.85,12.72,WMF,1
HH02 - 1.05V,Drying,5,30.79%,12.48,12.14,WMF,1
HH02 - 1.05V,Drying,6,30.41%,12.23,11.64,WMF,1
HH02 - 1.05V,Drying,7,29.84%,12.18,11.57,WMF,1
HH02 - 1.05V,Drying,8,29.36%,12.45,12.04,WMF,1
HH02 - 1.05V,Drying,9,28.98%,12.96,12.58,WMF,1
HH02 - 1.05V,Drying,10,28.38%,12.73,12.31,WMF,1
